region,text
고성,고성군의회는 4일 강릉시의회에 방문해 가뭄 극복을 위한 생수 1만병을 전달했다. 용광열 고성군의장은 “가뭄으로 고통 받는 강릉 시민들에게 깊은 위로의 말씀을 전한다. 하루빨리 평온한 일상을 되찾을 수 있길 바란다”고 말했다. 지역 고성군의회는 4일 강릉시의회에 방문해 가뭄 극복을 위한 생수 1만병을 전달했다. 용광열 고성군의장은 “가뭄으로 고통 받는 강릉 시민들에게 깊은 위로의 말씀을 전한다. 하루빨리 평온한 일상을 되찾을 수 있길 바란다”고 말했다.
고성,"AD 최악의 가뭄을 겪고 있는 강원도 강릉의 상황이 좀처럼 나아지지 않고 있습니다. 기다리던 비는 내렸지만, 가뭄을 해소하기에는 턱없이 부족했습니다. 주 상수원의 저수율은 더 떨어졌습니다. 연결해 자세히 알아보겠습니다. ! 오봉저수지의 저수율 얼마나 더 떨어졌습니까? 강릉지역의 주 상수원인 오봉저수지의 저수율은 오늘 오전 10시 기준 13.5%입니다. 평년대비 18.9%에 불과한 양입니다. 전날 13.9%에서 0.4% 포인트 더 떨어졌습니다. 지난달 31일 15% 아래로 떨어졌고, 이후 매일 0.3~0.5% 포인트씩 저수율이 감소하고 있습니다. 강릉지역에 비다운 비가 내리지 않고 있습니다. 같은 강원 영동지역인 고성 산지에 밤사이 30mm가 넘는 비가, 삼척에도 10mm의 비가 내렸지만, 최악의 가뭄을 겪고 있는 강릉지역에는 1.5mm에 그쳤습니다. 이 같은 추세라면 다음 주 초쯤 저수율 10% 선도 무너질 거라는 전망도 나옵니다. 강릉시는 저수율을 지키기 위한 사투를 벌이고 있습니다. 민·관·군 급수 차량을 총동원해 저수지와 정수장에 하루 만5천 톤이 넘는 물을 쏟아 붓고 있습니다. 해경 독도 경비함까지 급수 지원에 투입됐습니다. 200만 병 넘게 비축해둔 생수 배부도 확대했습니다. 애초 저수율이 10% 아래로 떨어지면 시민 모두에게 나눠줄 예정이었지만, 시민 불편을 고려해 20만 명이 넘는 모든 시민에게 배부를 앞당겼습니다. 시민 한 명당 2ℓ 생수 6병을 나눠줍니다. 생수는 주민센터별 세부 계획에 따라 배부되며, 300세대 이상 공동주택은 시청에서 일괄 배부해 혼선을 최소화하고 있습니다. 현재 수도계량기를 75%까지 잠그는 제한급수가 시행 중이고, 농업용수는 공급을 전면 중단했습니다. 빨래냐 샤워 등 일상생활 불편은 물론이고, 영업 제한에 농작물 피해도 속출하고 있습니다. 저수율이 10% 아래로 떨어지면 시간제 급수나 격일 단수 조치가 이뤄질 계획인데, 지역 경제에도 막대한 피해가 예상됩니다. 지금까지 강원취재본부에서 YTN 홍성욱입니다. : 성도현, 홍도영, 조은기 YTN 홍성욱 ※ '당신의 제보가 뉴스가 됩니다' YTN 검색해 채널 추가 02-398-8585 최악의 가뭄을 겪고 있는 강원도 강릉의 상황이 좀처럼 나아지지 않고 있습니다. 기다리던 비는 내렸지만, 가뭄을 해소하기에는 턱없이 부족했습니다. 주 상수원의 저수율은 더 떨어졌습니다. 연결해 자세히 알아보겠습니다. ! 오봉저수지의 저수율 얼마나 더 떨어졌습니까? 강릉지역의 주 상수원인 오봉저수지의 저수율은 오늘 오전 10시 기준 13.5%입니다. 평년대비 18.9%에 불과한 양입니다. 전날 13.9%에서 0.4% 포인트 더 떨어졌습니다. 지난달 31일 15% 아래로 떨어졌고, 이후 매일 0.3~0.5% 포인트씩 저수율이 감소하고 있습니다. 강릉지역에 비다운 비가 내리지 않고 있습니다. 같은 강원 영동지역인 고성 산지에 밤사이 30mm가 넘는 비가, 삼척에도 10mm의 비가 내렸지만, 최악의 가뭄을 겪고 있는 강릉지역에는 1.5mm에 그쳤습니다. 이 같은 추세라면 다음 주 초쯤 저수율 10% 선도 무너질 거라는 전망도 나옵니다. 강릉시는 저수율을 지키기 위한 사투를 벌이고 있습니다. 민·관·군 급수 차량을 총동원해 저수지와 정수장에 하루 만5천 톤이 넘는 물을 쏟아 붓고 있습니다. 해경 독도 경비함까지 급수 지원에 투입됐습니다. 200만 병 넘게 비축해둔 생수 배부도 확대했습니다. 애초 저수율이 10% 아래로 떨어지면 시민 모두에게 나눠줄 예정이었지만, 시민 불편을 고려해 20만 명이 넘는 모든 시민에게 배부를 앞당겼습니다. 시민 한 명당 2ℓ 생수 6병을 나눠줍니다. 생수는 주민센터별 세부 계획에 따라 배부되며, 300세대 이상 공동주택은 시청에서 일괄 배부해 혼선을 최소화하고 있습니다. 현재 수도계량기를 75%까지 잠그는 제한급수가 시행 중이고, 농업용수는 공급을 전면 중단했습니다. 빨래냐 샤워 등 일상생활 불편은 물론이고, 영업 제한에 농작물 피해도 속출하고 있습니다. 저수율이 10% 아래로 떨어지면 시간제 급수나 격일 단수 조치가 이뤄질 계획인데, 지역 경제에도 막대한 피해가 예상됩니다. 지금까지 강원취재본부에서 YTN 홍성욱입니다. : 성도현, 홍도영, 조은기 YTN 홍성욱 ※ '당신의 제보가 뉴스가 됩니다' YTN 검색해 채널 추가 02-398-8585"
고성,"사상 최악의 가뭄으로 재난사태가 선포된 강릉지역 시민들을 위해 전국 각지에서 보내온 생수가 강릉아레나 주차장에 쌓여 있는 모습. 4일 강원 동해안 대부분 지역에 비가 내리고 있는 가운데 극심한 가뭄을 겪고 있는 강릉지역만 유독 강수량이 적어 '단비'를 애타게 기다리고 있는 시민들의 속이 타들어 가고 있다. 강원지방기상청에 따르면 이날 오후 2시까지 내린 비는 삼척 원덕 99.5mm, 삼척 궁촌 59.5mm, 고성 거진 38.0mm, 속초 19.1mm 등을 기록하고 있다. 동풍의 영향으로 한때 호우경보가 내려졌던 삼척에는 100mm에 가까운 비가왔고, 속초와 고성 등 북부동해안에는 시간당 3㎜ 안팎의 비가 내리기도 했다. 하지만 최악의 가뭄이 이어지고 있는 강릉지역의 경우 해안가인 경포만 7.5mm 등을 기록했을 뿐 왕산면 2.0mm 등 대부분 지역이 2mm 내외에 그치고 있다. 특히 가뭄을 해갈하기 위해서는 강릉의 주 상수원인 오봉저수지 상류지역인 왕산과 도마리 일대에 많은 비가 필요하지만, 이번에도 찔끔 비가 내리면서 가뭄 해갈에 전혀 도움을 주지 못하고 있는 상황이다. 오는 4일 새벽까지 예상강수량은 강릉을 포함한 영동중북부는 5mm 미만, 영동남부는 5~20mm 가량의 비가 더 내릴 것으로 기상청은 예보했다. 4일 오전 비가 내리면서 시민들이 우산을 쓰고 길을 걷고 있는 모습. 이런 가운데 그동안 애타게 비가 내리기만을 기다려온 시민들은 이날 빗방울이 떨어지자 반가움을 내비치면서도 적은 강수량에 하늘만 원망하고 있는 모습이다. 이날 지역 커뮤니티 등에서는 '비 소식'에 대한 글들을 통해 ""오랫만에 촉촉한 비를 맞으니 너무 좋다. 비가 이렇게 반가운 적이 있었나. 조금만 오다 그치지 말고 쭉 내렸으면 좋겠다"" 등의 반응을 보이며 반가움을 표했다. 반면 적은 강수량에 대해서는 ""심각한 가뭄에 이렇게 찔끔찔끔 내리면서 태풍이 기다려지기는 처음이다. 삼척은 호우경보라던데 강릉은 이제 곧 그칠 것 같다. 왜 유독 비가 강릉만 피해가는 지 하늘 야속하다""고 안타까운 마음을 전했다. 극한 가뭄에 바닥을 드러내고 있는 강릉 오봉저수지. 한국농어촌공사에 따르면 4일 오전 강릉지역 87%의 생활용수를 공급하는 오봉저수지의 저수율은 13.5%로 전날 13.9% 보다 0.4%p 떨어졌다. 이는 지난 1977년 저수지 조성 이후 가장 낮은 수치로, 현재 저수율이 하루 0.3~0.4%p씩 줄어드는 점을 고려할 경우 조만간 10% 저지선도 무너질 것으로 전망되고 있다. 이에 시는 이날부터 전 시민을 대상으로 전국 각지에서 보내온 생수 219만여 병을 순차적으로 배부하고 있다. 생수는 강릉아레나에서 권역으로 옮겨진 후 각 주민센터별 세부 계획에 따라 전 시민에 배부할 계획이다. 이와 함께 시는 저수율이 10% 아래로 떨어질 경우 시간제나 격일제 급수도 시행할 방침이다. 김홍규 시장은 ""어려울 때 손 내밀어주신 분들의 따뜻한 마음에 깊은 감사의 마음을 전한다""며 ""가뭄 상황에 따른 시민 불편을 최소화하기 위해 가용할 수 있는 자원을 총동원하겠다""고 말했다."
고성,"고성 지역 업체 ㈜토성철물목재는 4일 강릉시의회에 방문해 가뭄 극복을 위한 성금 1,000만원을 전달했다. 박길복 대표는 “강릉시민들이 하루빨리 일상으로 돌아가는 데 힘을 보태기 위해 성금 전달에 나서게 됐다”고 말했다. 지역 고성 지역 업체 ㈜토성철물목재는 4일 강릉시의회에 방문해 가뭄 극복을 위한 성금 1,000만원을 전달했다. 박길복 대표는 “강릉시민들이 하루빨리 일상으로 돌아가는 데 힘을 보태기 위해 성금 전달에 나서게 됐다”고 말했다."
고성,"- NEWS - 뉴스데스크 뉴스데스크 - 방송일자 2025-09-04 극심한 가뭄을 겪고 있는 강릉에 반가운 비가 왔습니다. 하지만 이번에도 주변 지역에 비해 강릉에 상대적으로 적게 내리는 현상이 반복됐습니다. 이유가 뭔지 가 취재했습니다. 강릉시 생활용수의 87%를 공급하는 오봉저수지. 10여 미터 아래 바닥이 훤히 들여다 보입니다. ""이곳은 오봉저수지의 바닥인데요. 원래 물이 있던 자리인데 보시는 것처럼 자갈이 보입니다. 현재 비가 오고 있긴 하지만 물이 차기에는 턱없이 모자랍니다."" 저장 가능한 용량 1천 400여만 톤 가운데, 남은 물은 190만 톤 안팎. 급수차 430여 대까지 나서 4천 톤 이상의 물을 흘려보냈지만 저수율을 높이는데 실패했습니다. 오늘 강릉에 내린 비의 양은 5mm 안팎. 같은 기간 강원 동해안 가운데 남부 삼척에는 최대 100여 mm가, 북부 고성에는 40mm 가까이 내린 것과 대조적입니다. 강원지방기상청은 이처럼 강릉에만 비가 적게 내리는 패턴이 최근 반복되고 있다고 설명합니다. 강한 비구름이 만들어지는 곳 사이에 끼여 있어, 상대적으로 훨씬 적은 비가 내린다는 겁니다. ""북부 동해안은 기압골의 영향을 받아 많은 강수가 내렸고, 강원 남부 동해안도 하층 동풍이 유입되면서 많은 강수가 내렸으나 강릉 지역은 사이에 끼여 약한 동풍이 들어오면서 5mm 안팎의 강수가 내렸습니다."" 이런 현상 등으로 올 여름 강릉에는 1912년 기상 관측 이래 두 번째로 적은 187.9mm의 비가 왔습니다. 강릉 시민들은 보급이 확대되고 있는 생수를 사용하며, 점점 줄어드는 생활용수를 아끼고 있습니다. 그러면서 장기적으로는 속초의 지하댐 같은 시설이 마련되길 바라면서도 단기적으로 많은 비가 오길 바라는 마음입니다. ""장대비가 와야지 그래도 지역에 좀 도움이 되지 않을까 싶어요. 어쨌든 뭔가 좀 비를 가둘 수 있는 그러니까 모을 수 있는 시설이나 이런 거에 대한 대책이 중요하지 않을까..."" 강릉시는 오봉저수지와 주요 정수장에 운반하는 물의 양이 더욱 확대될 예정이라고 밝혔습니다. 그러나 기상 여건이 뒤따라주지 않는 한 오봉저수지의 저수율이 10% 아래로 하락할 가능성을 배제할 수 없습니다. MBC뉴스 이준호입니다. 반가운 비가 왔습니다. 하지만 이번에도 주변 지역에 비해 강릉에 상대적으로 적게 내리는 현상이 반복됐습니다. 이유가 뭔지 가 취재했습니다. 강릉시 생활용수의 87%를 공급하는 오봉저수지. 10여 미터 아래 바닥이 훤히 들여다 보입니다. ""이곳은 오봉저수지의 바닥인데요. 원래 물이 있던 자리인데 보시는 것처럼 자갈이 보입니다. 현재 비가 오고 있긴 하지만 물이 차기에는 턱없이 모자랍니다."" 저장 가능한 용량 1천 400여만 톤 가운데, 남은 물은 190만 톤 안팎. 급수차 430여 대까지 나서 4천 톤 이상의 물을 흘려보냈지만 저수율을 높이는데 실패했습니다. 오늘 강릉에 내린 비의 양은 5mm 안팎. 같은 기간 강원 동해안 가운데 남부 삼척에는 최대 100여 mm가, 북부 고성에는 40mm 가까이 내린 것과 대조적입니다. 강원지방기상청은 이처럼 강릉에만 비가 적게 내리는 패턴이 최근 반복되고 있다고 설명합니다. 강한 비구름이 만들어지는 곳 사이에 끼여 있어, 상대적으로 훨씬 적은 비가 내린다는 겁니다. ""북부 동해안은 기압골의 영향을 받아 많은 강수가 내렸고, 강원 남부 동해안도 하층 동풍이 유입되면서 많은 강수가 내렸으나 강릉 지역은 사이에 끼여 약한 동풍이 들어오면서 5mm 안팎의 강수가 내렸습니다."" 이런 현상 등으로 올 여름 강릉에는 1912년 기상 관측 이래 두 번째로 적은 187.9mm의 비가 왔습니다. 강릉 시민들은 보급이 확대되고 있는 생수를 사용하며, 점점 줄어드는 생활용수를 아끼고 있습니다. 그러면서 장기적으로는 속초의 지하댐 같은 시설이 마련되길 바라면서도 단기적으로 많은 비가 오길 바라는 마음입니다. ""장대비가 와야지 그래도 지역에 좀 도움이 되지 않을까 싶어요. 어쨌든 뭔가 좀 비를 가둘 수 있는 그러니까 모을 수 있는 시설이나 이런 거에 대한 대책이 중요하지 않을까..."" 강릉시는 오봉저수지와 주요 정수장에 운반하는 물의 양이 더욱 확대될 예정이라고 밝혔습니다. 그러나 기상 여건이 뒤따라주지 않는 한 오봉저수지의 저수율이 10% 아래로 하락할 가능성을 배제할 수 없습니다. MBC뉴스 이준호입니다."
고성,"동해안 가뭄은 인재…인접지는 대비 평창 도암댐 활용하거나 지하댐 건설 해양 심층수 활용하는 방식도 대책 “ 우리나라 뉴노멀이라고 생각하면 된다. 가뭄이 여름철에도 생길 수 있다는 것을 이제 알아야 한다.” 강릉을 덮친 극심한 가뭄이 인재라는 지적이 이어진다. 지리적 특성상 강원권에서 심각한 가뭄 가능성이 전부터 제기됐으나 실효적인 대책 마련이 지지부진했단 것이다. 전문가들은 다른 지역 댐을 활용하거나 지하댐 건설, 담수를 활용하는 등 다양한 대안을 제시한다. 4일 강원도 강릉시의 주수원 노릇을 하는 오봉저수지 저수율은 13.5%로 떨어지며 10%를 향해 꾸준히 내려가고 있다. 소방대 수십 대를 비롯해 군과 민간 살수차까지 총동원돼 저수지에 물을 붓고 있지만 거대한 저수지를 채우기엔 역부족이다. 오봉저수지에 저장된 물은 강릉시민 20만명이 쓰는 생활용수의 87% 가량을 책임진다. 사실상 시가 전적으로 의존하는 유일한 수원인 셈이다. 믿을 저수지를 달랑 하나만 두고서 버텨온 강릉을 보면서 전문가들은 ‘예견된 사태’였다고 지적했다. 재난 방지·대응 권위자인 조원철 연세대 토목공학과 교수는 “반드시 백업이 있어야 한다. 동해안은 강원 최북단 고성부터 최남단까지 물이 모자라는 지역”이라며 “인접지인 고성과 속초는 대비를 했는데, 강릉은 오봉저수지뿐이다. 대비를 하지 않은 것”이라고 지적했다. 실제로 강릉의 인접 지역인 양양과 고성, 삼척 등도 소규모 저수지와 지하수를 활용해 가뭄에 대비했다. 덕분에 이번 여름 가뭄 피해를 비껴갈 수 있었다. 조 교수는 강릉의 가뭄 상황을 타개할 방안으로 ▷평창 도암댐 활용 ▷지하댐 건설 ▷해수 담수화 시설 도입 등을 제안했다. 당장은 평창 도암댐을 활용하는 방안을 제시했다. 수질, 수온 차이 등 걸림돌만 기술적으로 해결하면 강릉으로 끌어와 활용하는데 문제 없단 설명이다. 조원철 교수는 “농지와 골프장에서 흘러나오는 제초제, 살충제와 목축업 비료 등으로 도암댐의 수질이 좋지는 않다”면서도 “저수지 수질을 개선하는 검증된 기술들이 있다. 이를 적극 도입해서 수질 정화를 할 수 있다”고 설명했다. 또 수온 차이도 해결해야 하는 문제다. 도암댐의 수온이 낮아 농업용수로 사용하면 냉해를 입기 때문이다. 조 교수는 수온을 높일 방법을 제안했다. 도암댐의 물줄기가 이어지는 강릉 남대천의 보를 통해 유속을 조절하면 햇빛에 노출돼 자연스레 해결할 수 있다는 설명이다. 중기적으로 강릉도 지하댐을 마련해야 한단 목소리도 커진다. 실제로 큰 가뭄 피해를 봤던 속초시는 속초 쌍천에 63만톤의 물을 저장할 수 있는 지하댐을 지었다. 조 교수는 “과거 정부에서 동해안 지역에 지하댐 건설을 제안했다. 인접 지역은 받아들여서 가뭄을 피했다”며 “강릉은 지금이라도 지하댐을 조속히 지어야 향후 가뭄을 대비할 수 있다”고 설명했다. 조 교수는 해양 심층수를 활용하는 아이디어도 제안했다. 그는 “동해안 바닷물은 염분이 평균 3.5% 정도인데 동해에는 한 7~8㎞ 나가서 한 수심 700~800m 바다에는 염분이 약 30분의 1로 줄어드는 저염분 심층수가 있다. 이를 적극 활용하는 방안도 장기적인 해법이다”고 덧붙였다. 이례적인 여름 가뭄이 올해는 유독 강릉에서 도드라졌지만, 앞으로 어느 지역에서든 발생할 수 있다. 이번 강릉 가뭄은 다른 지자체도 반면교사로 삼을만한 일이다. 정지훈 세종대 교수는 “강원도는 사실 여름철에 강수량이 제일 적은 곳. 특히 기후변화로 인한 폭염 때문에 가뭄이 급속도로 진행된 것이라 앞으로도 가뭄이 반복될 수 있다”며 “기존 통계에서 벗어나야 한다. 여름 가뭄이 생긴 건 한 10년 정도밖에 안 됐다”고 말했다. 강수량이 가장 많은 여름철 가뭄은 이례적이지만 향후 반복될 것이라는 설명이다."
고성,"AD 강원 영동 북부에 최고 30mm 안팎의 비가 내렸지만, 극심한 가뭄을 겪고 있는 강릉에는 1mm 안팎의 적은 비가 내려 해갈에 도움이 되지 못했습니다. 기상청에 따르면, 밤사이 강원도 고성 산지에 34.5mm, 삼척과 인제에 10mm 정도의 비가 내렸습니다. 하지만 극심 가뭄을 겪고 있는 강릉에는 1.5mm의 비가 내리는 데 그쳤습니다. 기상청은 다음 주 중반까지 강릉 가뭄을 해갈할 만한 비가 내릴 가능성이 낮다고 보고 있습니다. YTN 김진두 ※ '당신의 제보가 뉴스가 됩니다' YTN 검색해 채널 추가 02-398-8585 기상청에 따르면, 밤사이 강원도 고성 산지에 34.5mm, 삼척과 인제에 10mm 정도의 비가 내렸습니다. 하지만 극심 가뭄을 겪고 있는 강릉에는 1.5mm의 비가 내리는 데 그쳤습니다. 기상청은 다음 주 중반까지 강릉 가뭄을 해갈할 만한 비가 내릴 가능성이 낮다고 보고 있습니다. YTN 김진두 ※ '당신의 제보가 뉴스가 됩니다' YTN 검색해 채널 추가 02-398-8585"
고성,"올여름 많이 덥기도 했고 집중호우로 인해 피해도 발생했습니다. 2025년 여름철은 양극화가 뚜렷했습니다. 극한 호우와 가뭄이 동시적으로 발생했고요. 평균 기온은 역대 최고값을 기록했습니다. 서울의 열대야 일수는 총 46일로 117년 만에 가장 많았는데요. 오늘 내린 비의 양만 봐도 양극화를 알 수 있습니다. 서해상에서 비구름이 다가왔고요. 중서부 지역에 많은 비를 뿌렸습니다. 동해안 지역도 동풍의 영향으로 비가 내렸는데요. 삼척에 100밀리미터가 넘는 큰 비가 내린 반면 최악의 가뭄을 겪고 있는 강릉 지역은 2밀리미터에 그쳤습니다. 동풍이 비교적 약했기 때문인데요. 다가오는 주말에도 전국에 비 소식이 있지만 이번에도 서쪽 지역에 호우가 예상되고요. 내일은 충청과 남부 지방에 강한 소나기가 계속되겠습니다. 내일은 중부 지방도 다시 더워지겠습니다. 30도를 밑돌았던 서울은 내일 33도까지 오르겠고요. 고성도 30도로 오늘보다 최고 6도가량 높겠습니다. 내일 전국 하늘에 구름이 많겠고요. 영남 해안 지역은 바람이 강하게 불겠습니다. 내일 아침 기온 서울이 24도로 오늘과 비슷하겠습니다. 한낮 기온은 서울이 33도, 광주 32도까지 오르겠습니다. 날씨였습니다. MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000 ▷ 이메일 ▷ 카카오톡 @mbc제보 뉴스데스크 금채림 캐스터 올여름 양극화 뚜렷‥내일 중부 다시 더워져 올여름 양극화 뚜렷‥내일 중부 다시 더워져 입력 2025-09-04 20:50 수정 2025-09-04 21:10"
고성,"태백산맥이 비구름대 막아 '최악 가뭄' 지속…강수 전망도 어두워 식수원 오봉저수지 저수율 13.5% 기록…전날보다 0.3%p 떨어져 강원 강릉지역이 극심한 가뭄을 겪는 가운데 강릉을 제외한 지역에만 빗줄기가 쏟아지는 일이 반복되면서 강릉시민들 속이 타들어 가고 있다. 4일 강원지방기상청에 따르면 이날 0시부터 오전 10시까지 내린 비의 양은 홍천 47.9㎜, 춘천 29.2㎜, 고성 간성 21㎜, 속초 9㎜, 경포 4.0㎜, 주문진 2.0㎜, 연곡 1.5㎜ 북강릉 1.3㎜, 강릉 0.8㎜ 등이다. 기압골 영향으로 춘천과 홍천 등 내륙·산지 일부 지역에는 아침부터 시간당 10㎜ 안팎의 빗줄기가 쏟아지고, 동풍 영향으로 속초와 고성 등 북부 동해안에는 시간당 3㎜ 안팎의 비가 내리고 있다. 강릉에도 빗방울이 떨어지고 있으나 강수량은 5㎜ 미만에 그칠 것으로 예상된다. 다른 지역에는 제법 많은 비가 내림에도 강릉만 유독 비가 내리지 않는 원인은 지형적인 특성에서 찾을 수 있다. 중부지방 서쪽에서 만들어진 비구름대가 태백산맥을 넘지 못하면서 영서 내륙과 산지에만 많은 비를 뿌리거나, 태백산맥을 넘어오더라도 비구름대가 약화해 찔끔 내리는 수준에 그치고 있다. 기상청은 모레에도 북쪽 상층 기압골이 지나가며 내륙·산지에 강수가 예상되나 동해안은 강수 가능성이 작고, 온다고 하더라도 매우 적은 양이 내릴 것으로 내다보고 있다. 강릉지역 5만3천485가구에 생활용수를 홍제정수장을 거쳐 공급하는 오봉저수지 저수율은 이날 오전 10시 현재 전날보다 0.3%포인트 더 떨어진 13.5%를 기록했다. 반면 수도권과 춘천시민의 식수원인 소양강댐은 66.3%로 많은 양의 물을 모아두고 있다. 지난달 30일 이재명 대통령의 방문 당시 ""9월엔 비가 올 것이라고 굳게 믿고 있다""고 했던 김홍규 강릉시장의 바람과 달리 비가 내리지 않을 경우 오봉저수지 물이 바닥나는 건 시간문제다. 현재 오봉저수지 저수량은 193만t으로, 하루 평균 생활용수 사용량이 8만5천t임을 고려하면 3주가량 버틸 수 있다. 김 시장은 전날 CBS라디오 '김현정의 뉴스쇼'에서 ""기상 상황이 저희에게 그렇게 좋지 않은 것 같다""며 ""지금과 같이 비가 오지 않으면 아마 저수율이 한 10% 이상 떨어질 것 같다""고 말했다. 그는 ""운반급수를 통해 저수율이 10% 아래로 떨어지지 않도록 노력하고 있다""며 ""10% 미만 시 시간제 또는 격일제 단수하는 방안 등을 검토하고 있다""고 밝혔다. 제보는 카카오톡 okjebo <저작권자 연합뉴스, 무단 전재-> 2025/09/04 10:21 송고 2025년09월04일 10시21분 송고"
고성,"삼척은 '호우경보' 발효…강릉 생수 219만병을 순차 배부최근 극심한 가뭄으로 사면과 바닥이 드러난 강원 강릉 오봉저수지에서 지난 3일 오후 20여년 전 수몰된 경차가 발견됐다. 당국은 해당 차량이 2003년 동해안을 덮친 태풍 '매미' 당시 수몰된 것으로 보고 있다. 2025.9.4/뉴스1관련 동해해경청 ""대게 불법포획·유통 뿌리 뽑는다""…3개월 특별단속 돌입""올겨울도 건강하세요"" 세란병원, 동해안 최북단 고성에 의료물품 기부11월 전국 저수율 '평년 수준 회복'…""12월은 평년보다 적을 것""""가뭄 골든타임 놓쳐"" 윤건영 질타…강릉시장 ""취임 초부터 대비"" 반박'적당히'가 없는 강릉 날씨?…오봉저수지 방류량 '초당 37톤'으로↑'돌발가뭄'의 경고…기존 예·경보 체계론 안된다강릉 재난사태 '전면 해제'…111일의 가뭄 ""결국 '단비'가 풀었다"""
