region,text
정선,"동부지방산림청 정선국유림관리소는 최근 가뭄이 지속되는 가운데 여름철 산불 발생이 증가해 예방 활동에 나섰습니다. 정선국유림관리소는 산불·산사태 대응을 위해 24시간 산불대응체제로 운영하고 있으며, 산불 발생 시 초기 대응을 위해 신속대응반을 가동하고 있다고 밝혔습니다. 또, 산불재난특수진화대 등 감시인력 40여 명과 산림드론 7대를 활용해 산불 취약지 관리를 강화하고 불법행위가 적발되면 엄정 조치할 방침입니다 . 유튜브에서 헬로tv뉴스를 구독해주세요! 카카오톡 '헬로tv뉴스' 검색 후 채널 추가"
정선,"비 안 내리면 26일 고갈 가능성 노인복지시설·학교에 물 긴급 배부 절수 본격화 속 각계 지원 손길도 극심한 가뭄으로 사상 첫 국가 재난사태가 선포된 강원 강릉시에서 본격적인 절수 조치가 이뤄진다. 물 부족으로 어려움을 겪는 주민들에게 각계각층에서 지원 손길이 이어지고 있다. 2일 강릉시에 따르면 이날 오후 2시 기준 오봉저수지 저수량은 14.1%를 기록했다. 전날 대비 0.4%포인트 떨어진 수치로 14%대 붕괴도 초읽기에 들어갔다. 하루 생활용수 사용량은 8.6만t으로 비가 오지 않을 경우 이달 26일이면 모두 고갈될 전망이다. 강릉시민 생활용수 87%를 대고 있는 오봉저수지 저수량이 급격히 줄어듦에 따라 시는 공중화장실 47곳을 폐쇄하고 수영장 3곳 운영을 중단하기로 했다. 급수지원도 강화한다. 행정안전부 등에 따르면 국가소방동원령 발령으로 전국에서 달려온 물탱크차·급배수지원차 71대는 인근 시·군 소화전에서 물을 급수해 강릉 홍제정수장으로 실어 나르고 있다. 하루 운반량은 3000t가량이다. 취약계층을 비롯한 주민들에게 지원할 물 141만병을 비축해둔 상태다. 이 가운데 28만3000병이 노인복지시설과 학교를 중심으로 배부됐다. 2차로 강릉시민 전체에 물이 지원될 예정이다. 최악의 가뭄 피해를 입고 있는 강릉시민에 대한 전국 각계각층의 온정 손길도 이어지고 있다. 강릉과 자매도시인 경기 부천시는 생수 2000개를 전달했다. 광주광역시는 ‘빛여울수’ 1만병을 지원할 예정이다. 제주도와 제주개발공사는 삼다수 114t을, 강원 정선군은 생수 2만병과 급수차를 보내기로 했다. 기업들도 동참하고 있다. 우리금융과 쿠팡이 각각 2ℓ짜리 생수 20만병을 지원하기로 했다. 업비트와 두나무 역시 2ℓ 생수 100만병을 기부할 예정이다. 강릉시 관계자는 “시민 여러분의 소중한 일상을 지켜낼 수 있도록 가뭄 극복에 최선을 다하고 있다”며 “도움의 손길을 내밀어준 지방자치단체와 기업 등 관계자들에게 감사한 마음을 전한다”고 말했다. Copyright ⓒ 세계일보. 무단 전재 및"
정선,"과거 속초 오염수 유입 이유로 도암댐 반대…강릉, 석탄발전소 유치 한국환경정책협의회, “갈수기 용수공급 활용...청정에너지 포기는 낭비” 강릉 가뭄에 도암댐이 농업·생활용수를 공급할 수 있을 것이라는 주장이 나왔다. 한국환경정책협의회는 강릉 가뭄 해결과 탄소중립 에너지원 확보에 도암댐을 적극 활용하자는 취지의 논평을 낸 것으로 2일 파악됐다. 도암댐은 태백산맥 너머 강릉수력발전소에 물을 보내기 위해 1991년 건설된 다목적 댐이다. 이를 위해 백두대간 지하에 15.6km의 터널을 뚫었다. ‘유역변경식발전’이라고 부르는 이유다. 도암댐은 저수량이 3000만 톤이다. 강릉시 전체 인구가 가정용 기준으로 1년 6개월 동안 사용 가능한 수량으로, 협의회는 도암댐을 강릉 가뭄 해소에 적극 활용하자고 제안한다. 하지만 강릉시와 현지언론은 우호적이지 않다. 강릉 지역 언론인 강원종합뉴스는 2022년 7월 7일 ‘강릉시, 어렵게 막은 도암댐 오염물을 다시 남대천으로?”라는 제하의 기사를 내보냈다. 보도에 따르면 대관령 지역엔 대규모 고랭지 채소밭·축산단지·골프장·스키장·콘도 리조트 등으로 오염된 물이 평창의 횡계천·송천을 통해 도암댐에 모여든다. 도암댐을 이용한 강릉수력발전소 운영을 반대하는 이유다. 실제로 강릉수력발전소는 2001년 준공 이후 운영이 24년째 운영 중단된 상태다. 최근엔 양수발전소 전환도 검토 중인데 4000억 원의 추가 예산이 들 것으로 예상돼 쉽지 않다. 한국수력원자력은 도암댐 오염 문제를 해결하고자 각고의 노력을 기울였다. 2018년 4월~2022년 8월 재임한 정재훈 전 한수원 사장은 ""천연녹조방지제를 투입해 도암댐의 물의 수질을 음용가능한 1~2급수로 끌어올리는데 성공했다""고 전했다. 실제로 당시 정 사장은 도암댐의 물을 떠 먹으며 음용가능함을 보여줬다. 그런데 정권이 바뀌며 이러한 노력은 수포로 돌아갔다. 신임 강릉시장이 도암댐 활용을 원점으로 되돌렸기 때문이라는 것이 정 전 사장의 설명이다. 그 사이 강릉시는 온실가스 다배출 발전소인 화력발전소를 유치했다. 2018년 3월 삼성물산이 강원도 강릉시 강동면 안인리 일대에 설립한 강릉에코파워다. 흔해 강릉안인석탄발전소라고 부른다. 석탄화력발전소는 굴뚝의 집진시설을 통해 대기오염물질을 상당부분 제거했지만 질소산화물 비산은 막지 못한다. 질소산화물은 대기 중의 산소와 결합돼 초미세먼지를 만든다. 결과적으로 강릉시는 환경오염을 이유로 대표적인 재생에너지인 수력발전소 가동을 막으면서도 대기 오염물질을 배출하는 석탄발전소를 가동하는 엇박자를 내는 모양새다. 강릉안인석탄발전소는 생태·경관보전지역으로 지정됐던 강릉 안인사구를 사라지게 만든 주범으로도 손꼽힌다. 강릉시가 지난 1일 발표한 가뭄 대책에도 도암댐 활용은 또다시 배제됐다. 현재 오봉저수지 주말 저수율이 14.2%인 상황에서 △계량기 급수밸브 50% 잠금 제한급수를 75%로 강화 △음식점 운영 시간 단축·숙박업소 객실 1/3 축소 운영 △오죽한옥마을 등 강릉시 운영 공공시설 운영 제한을 강화한다. 저수율이 10% 미만으로 떨어지면 시간제 또는 격일제 급수 공급도 검토한다. 이때 모든 시민에 생수를 배부하는 방안을 제시했다. 한국환경정책협의회는 “도암댐 발전 방류구에 조정지를 조성해 변동 유량을 줄인다면 강릉 남대천의 유량도 안정시키고 생태계 향상도 기대할 수 있다”며 “연간 평균 발전량이 1억8000만kWh인 청정에너지원을 이대로 포기하는 것은 분명한 낭비이자 비효율”이라고 지적했다."
정선,"주민 1인당 10병 이상 나눠줄 물량 쌓여 역대 최악의 가뭄으로 생활용수 공급에 어려움을 겪고 있는 강원 강릉지역 주민들을 돕기 위한 생수 기부와 급수 지원이 이어지고 있다. 전국 각지에서 십시일반으로 힘을 보태면서 강릉 주민 1인당 생수를 10병 이상 나눠줄 수 있을 정도의 물량이 쌓였다. 가장 먼 제주도에서도 도움의 손길을 내밀었다. 제주도와 제주개발공사는 최근 재난 사태가 선포된 강릉시에 ‘제주삼다수’ 0.5ℓ짜리 22만7000병을 긴급 지원한다고 2일 밝혔다. 지원 물품은 오는 3일과 4일 이틀간 제주개발공사에서 직접 출고해 강릉시청에 전달할 예정이다. 앞서 제주개발공사는 지난달 23일에도 재해구호협회를 통해 강릉시에 ‘제주삼다수’ 0.5ℓ짜리 1만1200병을 지원한 바 있다. 오영훈 제주지사는 “제한 급수로 불편을 겪는 강릉 시민에게 실질적 도움이 되길 바란다”라고 말했다. 강릉시의 자매도시인 경기 부천시도 지난 1일 2ℓ짜리 생수 2000여 병을 기부했다. 정선군은 강릉시에 2ℓ짜리 생수 2만 병을 전달하는 한편 20t 규모의 운반급수 차량 1대도 지원했다. 급수난이 심각한 지역에 투입된 운반급수차는 주민들에게 깨끗한 생활용수를 공급하는 역할을 한다. 한범모 정선군 상하수도사업소장은 “어려움을 함께 나누고 극복하자는 이웃사랑의 마음을 담아 이 같은 조처를 하게 됐다”라고 했다. 기업들의 생수 기부도 잇따르고 있다. 쿠팡은 대한적십자사를 통해 2ℓ짜리 생수 20만 병을 강릉시에 기부하기로 했다. 생수는 이날부터 이틀간 가뭄 피해로 생활에 불편을 겪는 강릉 주민과 소상공인들에게 전달될 예정이다. 전국 각 자치단체와 기업, 사회단체 등이 지난달 27일부터 지난 1일까지 강릉시에 기부한 0.5~2ℓ짜리 생수는 166만여 병에 달한다. 이 가운데 28만3433병을 사회복지시설이나 취약계층에 우선 배부했다. 2일 오후 2시 한국농어촌공사 농촌용수종합정보시스템에 따르면 오봉저수지 저수율은 하루 전보다 0.4%포인트 낮아진 14.1%를 기록하고 있다. 이는 평년 저수율의 19.7%에 불과한 수준이다. 강릉의 경우 최근 6개월 강수량이 평년의 45% 선에 그치는 등 136일째 기상 가뭄이 이어지면서 향후 3~4주 내 오봉저수지 물이 고갈될 위기에 처했다. 오봉저수지는 강릉시 전체 생활용수의 87%를 공급하는 역할을 하는 주요 상수원이다. 현재 ‘75% 제한급수’를 시행 중인 강릉시는 오봉저수지의 저수율이 10% 미만으로 떨어지면 시간제·격일제 급수를 시행하는 방안도 검토키로 했다. 강릉시 관계자는 “생수 기부를 기부한 자치단체나 기업, 사회단체에 깊이 감사드린다”라며 “‘완전 단수’라는 최악의 상황을 막기 위해 대형 살수차를 동원해 인근 하천 등에서 물을 퍼 저수지 상류에 투입키로 하는 등 상수원수 확보에 총력을 기울이고 있다”라고 밝혔다."
정선,"2일 업계에 따르면 정 전 사장은 지난달 31일 자신의 페이스북에 '강릉 가뭄사태, 예견된 참사!'라는 제목의 글을 올렸다. 정 전 사장은 2018년부터 2022년까지 한수원 사장을 지냈다. 한수원 사장 재임 시절이던 2019년에도 강릉 가뭄 사태가 계속되고 있었다고 언급한 정 전 사장은 ""당시 강릉시장과 인근주민들을 설득해서 강릉과 가깝고 과거 물을 공급했던 도암댐 발전재개를 통해 원수 공급을 제안한 바 있다""며 ""2년이 넘게 수차례에 걸친 수질 정화 노력과 주민토론회를 거쳐 2021년 하반기부터 강원대 교수, 인근 단체장 등과 공개행사를 진행했다""고 설명했다. 또 ""저수지 수질개선 사실을 확인해주기 위해 저와 당시 강릉시장이 현장에서 저수지물을 떠 마시기까지 했다""며 ""당시 프로젝트가 추진됐다면 지금과 같은 가뭄은 없었을 것""이라고 지적했다. 이어 ""2022년 초부터 도암댐 발전재개를 위한 공론화가 시작됐고 당시 시장과 의욕을 가지고 사업을 본격 추진하기 시작했다""며 ""그러나 정권 교체 이후 강릉시장 후보가 바뀌고 현시장이 나타나 도암댐 발전재개와 원수 확보계획을 무산시켰다""고 주장했다. 정 전 사장은 ""지금도 당시 상황과 시장의 결정을 이해할 수 없었다""며 ""한 번의 잘못된 선택으로 시민들이 얼마나 고통받을 수 있는 지 보여주는 사례""라고 강조했다. ©'5개국어 글로벌 경제신문' 아주경제."
정선,"가격 폭락 시기와 시세 비교 일부 언론 ‘금배추’ 운운 왜곡 수급 양호한 데도 생육부진 부각 정부 수매·비축물량 충분하고 올 생산량 전년비 증가 전망 고랭지배추 산지, 보도 자제 요청 올 여름 배추 도매시세가 전년과 평년보다 낮은데도 일부 언론에서 배추를 물가상승의 원인으로 지목하자 산지 불만이 거세지고 있다. 특히 가격 폭락 시기와 현재 시세를 비교해 가격이 폭등한 것처럼 왜곡하는 상황으로, 이는 김치 등 배추 소비를 위축시켜 시세 하락의 원인으로 작용할 수 있다는 우려의 목소리가 높아지고 있다. ▲배추 수급은 ‘양호’=한국농촌경제연구원은 올해 여름배추 생산량을 전년 대비 약 9% 증가한 24만2000톤 수준이 될 것으로 예측했다. 고온으로 인한 생육 장애 발생 등 작황 부진을 감안하더라도 지난해와 비교하면 생산 단수가 10%정도 늘어날 것으로 봤기 때문이다. 현장에서도 비슷한 이야기를 전했다. 최선동 강릉고랭지채소공동출하협의회장은 “강릉은 올해 가뭄이 워낙 심해 지난해까지 출하율이 70%를 넘었던 안반데기도 50% 수준으로 떨어지는 등 상황이 더 어려워 졌다”라며 “그러나 이는 강릉에 국한된 것으로, 태백·정선 등 다른 고랭지배추 산지는 작년보다 사정이 나아졌다”라고 설명했다. 평창에서 배추를 생산하는 산지유통인 이준식 씨도 “가뭄으로 배추 생산이 어려워진 것은 맞지만 지난해보다는 덜하다”라며 “가뭄이 해소되지 않고 현 상태가 그대로 이어지더라도 작년과 비교하면 생산량이 20%정도는 많아질 것”이라고 언급했다. 여기에 올해는 고온·가뭄 등으로 인한 수급 불안에 대비, 정부에서 봄배추 수매·비축량을 1만5000톤까지 확대해 아직 배추 공급에는 문제가 나타나지 않고 있다. 정부가 미리 확보한 9월 수확 분 비축량도 4000톤정도로 알려지고 있다. 이에 올해 여름배추 도매시세는 전년과 평년 대비 약세를 보이고 있다. 가락동 농수산물도매시장 기준, 8월 평균가격은 1만4355원으로, 전년 동기 1만7084원 대비 약 16%, 평년보다도 3% 낮은 가격에 형성됐다. 대아청과 관계자는 “강릉 외에 상대적으로 가뭄이 덜한 평창, 정선, 태백지역에서는 배추 출하가 이어지고 있다”라며 “최근 들어 산지 수확량이 늘어나면서 저장 배추 시장 반입량이 감소하고 있다”라고 말했다. ▲농가 더 힘들게 하는 ‘금배추’ 보도=지난 6월에도 배추 도매가격은 평년 시세 이하에서 형성됐다. 특히 5월에는 전월 1만300원 대비 42%나 폭락한 5941원에 배추가 거래됐다. 전년 및 평년과 비교해도 크게 낮은 금액이다. 7월의 경우도 평균 도매가격은 1만 482원으로, 전년과는 비슷하고 평년보다는 낮은 수준에 거래를 마쳤다. 그런데 최근 보도 양상을 보면 가격이 낮았던 5~6월과 8월 시세를 비교하면서 ‘물가지수가 50% 이상 올라 금배추가 됐다’는 기사가 나오고 있다. 또 도매시장 시세와 상관없이 소매가격이 오른 날만 집어서 ‘올해처럼 한 포기 7000원대까지 큰 폭의 가격 상승은 이례적’이라는 내용의 기사를 내보내고 있다. 기사에서 인용한 한국농수산식품유통공사 자료를 살펴보면 8월 배추 1포기 평균소매가격은 6500원 수준으로, 8월 중순 단 3일만 7000원대를 넘겼다. 오히려 같은 날 도매시세는 3포기 1망에 1만1040원~1만3178원 사이로, 8월 평균 도매가격보다 낮은 가격을 기록했다. 이런 내용에 생육 장애로 문제가 생긴 부분만 부각시켜 전체 수급에 큰 문제가 생긴 것처럼 상황을 왜곡하고 있다. 문제는 이 같은 언론보도가 시세 하락으로 이어져 산지에 피해를 줄 수 있다는 것이다. 가격 폭등 기사를 접한 소비자들이 시장에 발길을 끊게 되고, 배추 소비를 위축시켜 시세하락의 원인이 되기 때문이다. 최선동 회장은 “가뜩이나 가뭄으로 힘들게 농사짓는데 언론에선 시세가 폭락했던 시기와 비교해 가격이 크게 오른 것처럼 이야기 한다”라며 “보도 내용처럼 전체적으로 수급에 이상이 생겼으면 시세가 폭등해야 정상인데, 오히려 전년과 평년보다 낮다”라고 지적했다. 그러면서 “금배추 보도가 나오면 김치 등 배추 소비를 위축시키게 되고 이는 시세 하락 원인으로 작용해 힘들게 농사지은 농가들이 피해를 입게 된다”고 덧붙였다. 따라서 산지에선 정확한 사실 분석에 기반 한 보도를 요청하고 있다. 김규현 강릉농협 팀장은 “올해는 김치 공장에서 봄배추를 많이 확보한 것으로 알고 있는데 소비가 부진해지면 업체들의 구매 저하로 이어지는 등 언론의 무분별한 보도로 산지가 더 힘들어질 수 있는 만큼 전후 상황까지 파악 후 정확한 내용을 전달해야 한다”라고 당부했다."
정선,"정선군, 가뭄 겪는 강릉시에 생수 2만병·급수차 지원 “이웃 사랑 실천, 함께 극복하는 공동체” 정선군은 지난 1일 2L 생수 2만병과 20t 규모의 운반급수차 1대를 강릉시에 지원하고 있다. *재판매 및 DB 금지 강원 정선군이 극심한 가뭄으로 생활용수 부족에 시달리고 있는 강릉시에 생수 2만병과 운반급수 차량을 긴급 지원하며 따뜻한 이웃 사랑을 실천했다. 정선군은 지난 1일 2ℓ 생수 2만병을 강릉시에 전달하고, 20t 규모의 운반급수차 1대를 지원했다고 밝혔다. 이번에 투입된 급수차는 급수난이 심각한 지역에 즉시 배치돼 주민들에게 깨끗한 생활용수를 공급하게 된다. 또한 가정에서 바로 사용할 수 있는 생수는 물 부족으로 불편을 겪고 있는 시민들의 갈증 해소에 큰 도움이 될 것으로 기대된다. 정선군 상하수도사업소장은 “같은 공동체의 일원으로서 어려움을 함께 나누고 극복하자는 마음을 담았다”며 “이번 지원이 강릉 시민들의 가뭄 극복에 작은 보탬이 되길 바란다”고 전했다. 이번 지원은 지자체 간의 연대와 협력을 통한 위기 극복 사례로, 지역 간 상생의 가치를 다시 한 번 일깨우고 있다. ◎공감언론 뉴시스 Copyright © NEWSIS.COM, 무단 전재 및"
정선,"관련 ""청년층 의견 담아 정책 집행""…노원구, 청년자율예산제 운영송파책박물관, 김찬용 도슨트와 '500년 서양미술사' 강연""강릉만의 문제 아니다""…기후변화에 '물 그릇' 넓히는 강원 동해안강릉시, 내년 예산안 1조5124억 편성…전년 대비 707억 원 증가""강원도 먹는샘물 안심하세요""…도내 유통 제품 전량 '적합' 판정""오봉저수지 의존 줄인다""…강릉시, 지하수·정수장 확충 속도11월 전국 저수율 '평년 수준 회복'…""12월은 평년보다 적을 것"""
정선,"15% 무너진 지 이틀 만에 14.1%까지 추락…매일 0.3%∼0.5%p 하락 열흘 뒤 10% 미만 떨어지면 '시간제·격일제 급수' 시행 검토 최악 가뭄을 겪고 있는 강원 강릉시의 '물그릇'이 날이 갈수록 바닥을 드러내고 있다. 2일 한국농어촌공사 농촌용수종합정보시스템에 따르면 이날 오후 2시 기준으로 강릉지역 5만3천485가구의 생활용수를 홍제정수장을 거쳐 공급하는 오봉저수지 저수율은 아침보다 0.1%포인트 더 떨어진 14.1%를 기록했다. 불과 이틀 전 14.9%를 나타내며 15% 선이 무너진 데 이어 14% 선도 붕괴가 코앞이다. 오봉저수지 저수율은 매일 0.3%포인트∼0.5%포인트가량이 줄고 있다. 전날 기준으로 오봉저수지의 저수량은 206만500t으로, 하루 평균 생활용수 사용량이 8만5천t임을 고려하면 24일간 버틸 수 있는 양이다. 이 같은 저수율 감소 추세라면 열흘 안팎으로 10% 미만으로 떨어질 것으로 예상된다. 시는 10% 미만으로 떨어지면 '시간제·격일제 급수' 시행을 검토한다. 여태껏 시민들의 자발적인 절수 노력에 기대어 계량기를 50% 또는 75%를 잠그는 방식으로 제한 급수 조치를 해왔지만, 10% 미만으로 떨어질 경우 시민들이 체감하는 불편함의 정도가 상당할 것이 자명한 상황이다. 강릉에서는 전날 국방부, 소방청, 산림청, 홍천군·태백시·정선군, 도로공사 등에서 급수차를 지원해 쉴 새 없이 물을 퍼 날랐으나 급수량은 5천t으로, 생활용수 사용량의 10%에도 미치지 못했다. 연곡정수장이나 인접 시·군 소화전에서 물을 담아 홍제정수장에 쏟아부을 뿐만 아니라, 사천천과 연곡천 물을 오봉저수지에 곧장 투입하며 용수확보에 안간힘을 쏟고 있으나 저수율 감소를 막기에는 역부족이다. 시에서 추진 중인 연곡 지하수 저류댐 설치사업이나 연곡정수장 현대화 사업도 2027년이나 2029년부터 끝나기 때문에 지금 당장 눈앞의 가뭄을 해결하기 위해서는 '하늘의 도움'이 절실한 상황이다. 어제 퇴근 무렵 빗방울이 떨어지긴 했으나 강수량이 10㎜가 채 되지 않아 가뭄 해갈에 큰 도움이 되지 못했다. 기상청은 이날도 동해안에 5㎜ 안팎의 비가 내릴 것으로 내다봤다. 김홍규 시장은 전날 가뭄대응 비상대책 회견에서 ""저수율이 0%에 도달하는 최악의 상황이 오면, 홍제정수장 전 구역에 대해 차량을 통한 운반급수를 실시하겠다""고 밝혔다. 그러면서 ""최대 하루 400대의 살수차를 동원해 지방하천과 저수지 22곳에서 하루 1만5천600t의 원수를 오봉저수지에 추가로 투입하겠다""고 했다. 제보는 카카오톡 okjebo <저작권자 연합뉴스, 무단 전재-> 2025/09/02 15:22 송고 2025년09월02일 15시22분 송고"
정선,"- NEWS - 뉴스데스크 뉴스데스크 - 방송일자 2025-09-02 극한 가뭄을 겪고 있는 강릉시를 돕기 위한 강원도 내 지자체의 나눔이 이어지고 있습니다. 정선군이 2L 생수 2만 병을 강릉시에 전달하고 9월 한 달간 20톤 급수 차량 1대를 지원하며 태백시에서 8톤, 15톤 급수차 2대, 홍천군도 3대를 현장에 지원해 운반급수를 돕고 있습니다. 가까운 동해와 평창, 양양, 속초시는 바로 쓸 수 있는 상수도를 매일 300톤에서 500톤까지 지원해 소방차들이 하루 3천톤 가량을 홍제정수장으로 실어나르고 있습니다. 앞서 춘천시도 176톤의 정수와 생수 등을 지원했고, 고성군과 태백시의회, 속초시, 원주시 등은 생수를 지원한 바 있습니다. 강원도 내 지자체의 나눔이 이어지고 있습니다. 정선군이 2L 생수 2만 병을 강릉시에 전달하고 9월 한 달간 20톤 급수 차량 1대를 지원하며 태백시에서 8톤, 15톤 급수차 2대, 홍천군도 3대를 현장에 지원해 운반급수를 돕고 있습니다. 가까운 동해와 평창, 양양, 속초시는 바로 쓸 수 있는 상수도를 매일 300톤에서 500톤까지 지원해 소방차들이 하루 3천톤 가량을 홍제정수장으로 실어나르고 있습니다. 앞서 춘천시도 176톤의 정수와 생수 등을 지원했고, 고성군과 태백시의회, 속초시, 원주시 등은 생수를 지원한 바 있습니다."
